lat,lng,level,observed
54.3236569756,18.5561656952,1,2013-03-04 13:16:00
54.3190514774,18.5405445099,5,2013-03-04 13:16:00
54.3174118958,18.5489344597,5,2013-03-11 18:58:00
54.3308520343,18.5856699944,2,2012-10-11 20:29:00
54.320628418,18.5486125946,1,2013-03-12 11:23:00
54.3154217814,18.54616642,5,2013-03-12 11:39:00
54.3196271929,18.5784173012,5,2012-12-17 12:37:00
54.3231313742,18.6156463623,2,2013-03-04 15:00:00
54.3157221822,18.5538482666,5,2013-03-02 16:07:00
54.3329414938,18.5933303833,2,2013-03-12 16:11:00
54.3373452761,18.613243103,2,2013-03-12 16:14:00
54.3511040564,18.5234212875,3,2013-03-12 16:14:00
54.3209538109,18.5495138168,5,2013-03-12 16:18:00
54.3139197446,18.5638046265,3,2013-03-12 16:25:00
54.3233566327,18.611805439,2,2013-03-12 16:27:00
54.3101268575,18.5686540604,4,2013-03-09 19:35:00
54.271439487,18.5809707642,2,2013-03-12 16:46:00
54.3197773782,18.5538482666,5,2013-03-02 10:00:00
54.3144204296,18.5500717163,4,2013-03-12 17:09:00
54.3181253096,18.5444068909,3,2013-03-12 17:24:00
54.3271357872,18.4608078003,1,2013-03-12 17:28:00
54.3253338496,18.5511016846,2,2013-03-12 17:29:00
54.3172241533,18.5141944885,1,2013-03-09 17:33:00
54.3210289012,18.5418319702,2,2013-03-12 17:40:00
54.315897415,18.5635471344,1,2013-03-12 17:48:00
54.3148710409,18.5494709015,3,2013-03-12 18:02:00
54.3168987309,18.5524106026,3,2013-03-12 18:26:00
54.3178374423,18.5564446449,3,2013-03-12 18:26:00
54.3181284386,18.5666692257,3,2013-03-12 18:26:00
54.3206409332,18.5432910919,1,2013-03-12 18:31:00
54.320378114,18.5547924042,3,2013-03-12 18:37:00
54.3212291414,18.5444068909,5,2013-03-12 18:37:00
54.3216296187,18.5637187958,2,2013-03-12 18:37:00
54.3284746759,18.5532259941,3,2013-02-22 05:50:00
54.3289376459,18.5816574097,3,2013-03-08 07:55:00
54.3569563955,18.5850906372,3,2013-03-11 07:00:00
54.3269480891,18.5866999626,2,2013-02-14 06:17:00
54.3225056494,18.5465097427,5,2013-03-12 18:00:00
54.3326161957,18.5638904572,1,2013-03-10 06:00:00
54.310339669,18.5874509811,3,2013-03-12 19:16:00
54.3201528391,18.5504579544,4,2013-03-12 19:16:00
54.3037044399,18.5456085205,2,2013-03-12 19:33:00
54.2948891985,18.5339355469,3,2013-03-12 19:33:00
54.2998980899,18.5373687744,3,2013-03-12 19:33:00
54.3503036717,18.5657572746,3,2013-03-12 19:37:00
54.3359441238,18.5605430603,2,2013-03-12 19:45:00
54.3163730431,18.5766792297,3,2013-03-11 19:46:00
54.3219550037,18.572602272,2,2013-03-12 19:48:00
54.3310897626,18.5662937164,5,2013-03-12 19:48:00
54.3299761814,18.558204174,1,2013-03-12 19:51:00
54.3669584638,18.6273193359,5,2013-03-12 19:51:00
54.3088124092,18.5694694519,3,2013-03-12 19:53:00
54.358957004,18.5814857483,3,2013-03-12 10:53:00
54.3405977671,18.5456085205,2,2013-03-12 19:59:00
54.3476397792,18.5622596741,2,2013-03-12 20:01:00
54.3182254368,18.5507583618,5,2013-03-12 20:12:00
54.3210789614,18.5501146317,1,2013-03-12 20:32:00
54.3210289012,18.546037674,1,2013-03-12 20:31:00
54.3184757539,18.5150527954,2,2013-03-12 07:00:00
54.3013755965,18.6090803146,3,2013-03-12 20:41:00
54.3448631441,18.5016846657,3,2013-03-07 17:00:00
54.308411807,18.5627746582,3,2013-03-12 21:05:00
54.3216296187,18.5946178436,2,2013-03-12 21:07:00
54.3280492394,18.5852193832,3,2013-03-01 19:00:00
54.3210038711,18.5496425629,1,2013-03-12 21:20:00
54.3194895226,18.5470676422,2,2013-03-12 21:20:00
54.3433496739,18.5638046265,5,2013-03-12 09:27:00
54.3189263208,18.5668945312,1,2013-03-12 21:47:00
54.3086621838,18.5547065735,1,2013-03-12 21:47:00
54.3129684262,18.5505867004,1,2013-03-12 21:47:00
54.3160225808,18.5489559174,1,2013-03-12 21:47:00
54.3209287808,18.5458660126,1,2013-03-12 21:47:00
54.318050214,18.5385489464,5,2013-03-12 21:52:00
54.3140574336,18.5485911369,5,2013-03-12 21:52:00
54.3298385457,18.6139297485,1,2013-03-12 21:54:00
54.315221513,18.5454368591,3,2013-03-12 22:14:00
54.329538248,18.5805845261,4,2013-03-05 18:24:00
54.3143453272,18.5499429703,3,2013-03-12 22:26:00
54.3269355758,18.5924720764,3,2013-03-12 22:29:00
54.3025024727,18.6068916321,2,2013-03-12 22:29:00
54.3194895226,18.5469603539,5,2013-03-12 06:30:00
54.3208036299,18.5477757454,5,2013-03-05 18:30:00
54.3228560564,18.5443210602,4,2013-03-05 19:20:00
54.3270607081,18.5402011871,2,2013-03-06 21:23:00
54.3208286601,18.5496854782,5,2013-03-12 22:50:00
54.3182254368,18.5820007324,3,2013-03-12 22:50:00
54.3225056494,18.5448360443,4,2013-03-12 17:53:00
54.3377080667,18.540802002,2,2012-06-22 23:13:00
54.3228310275,18.6173415184,3,2013-03-12 23:23:00
54.3678085273,18.6212253571,5,2013-03-12 23:24:00
54.390153884,18.6479187012,5,2013-03-12 23:24:00
54.3653582965,18.6249160767,5,2013-03-12 23:24:00
54.3193268206,18.6434555054,5,2013-03-12 23:24:00
54.3515542659,18.6462020874,5,2013-03-12 23:24:00
54.3206534483,18.6111617088,4,2013-03-12 23:25:00
54.319577131,18.5468101501,5,2013-03-12 23:29:00
54.3222803861,18.5316181183,4,2013-03-12 23:29:00
54.3237821178,18.5479259491,4,2013-03-12 23:29:00
54.3217297375,18.6080503464,4,2013-03-12 23:25:00
54.3257843414,18.6074709892,4,2013-03-12 23:25:00
54.3014006385,18.5777950287,3,2013-03-12 23:25:00
54.3195020381,18.5412526131,2,2013-03-06 13:00:00
54.3199525937,18.5767006874,3,2013-03-12 23:55:00
54.3436999033,18.5653066635,1,2013-03-13 01:12:00
54.3143703614,18.5686969757,1,2013-03-13 01:19:00
54.3526672627,18.5291290283,3,2013-03-13 05:51:00
54.3199525937,18.5467672348,2,2013-03-13 07:41:00
54.3162979443,18.5822796822,2,2013-03-13 06:10:00
54.319426945,18.5603713989,3,2013-03-13 07:59:00
54.319426945,18.5065555573,1,2013-03-08 11:42:00
54.3188762581,18.5614013672,5,2013-03-13 20:32:00
54.3205908725,18.5645127296,1,2013-03-13 06:33:00
54.320378114,18.5649204254,5,2013-03-13 06:33:00
54.319577131,18.5656929016,5,2013-03-13 20:39:00
54.3221552394,18.5344719887,2,2013-03-13 13:30:00
54.3234817759,18.5535907745,2,2013-03-13 22:19:00
54.3187761324,18.5614871979,2,2013-03-14 08:29:00
54.3167235023,18.5687828064,5,2013-03-14 08:53:00
54.3193017895,18.5466814041,1,2013-03-14 09:37:00
54.3176497018,18.5455226898,1,2013-03-14 09:37:00
54.3138196068,18.5756492615,4,2013-03-14 10:08:00
54.3215294998,18.5761642456,3,2013-03-14 10:31:00
54.3218924299,18.5529470444,5,2013-03-13 19:30:00
54.3225682223,18.552775383,4,2013-03-13 19:30:00
54.3290627721,18.6239290237,3,2013-03-12 20:00:00
54.319426945,18.5472393036,2,2013-03-14 15:22:00
54.3181253096,18.5634613037,2,2013-03-14 07:15:00
54.3206534483,18.5505437851,5,2013-02-05 16:21:00
54.3306893773,18.5638904572,1,2013-03-14 19:35:00
54.3215920742,18.5513591766,4,2013-03-14 19:35:00
54.3308144981,18.5637617111,1,2013-03-14 21:29:00
54.3171740884,18.5831165314,3,2013-03-12 19:09:00
54.3023522243,18.5784602165,2,2013-03-15 07:26:00
54.3048437723,18.5704565048,3,2013-03-15 07:26:00
54.3605574206,18.3880233765,5,2013-03-15 07:28:00
54.3625578538,18.4618377686,4,2013-03-15 07:28:00
54.3224305618,18.5754776001,3,2013-03-15 07:31:00
54.3185258172,18.5807561874,3,2013-02-11 07:38:00
54.3497533982,18.5648345947,1,2013-03-15 07:51:00
54.3047686524,18.5861849785,3,2013-03-09 09:30:00
54.3193768828,18.5653495789,1,2013-03-14 06:56:00
54.2924596667,18.5676670074,3,2013-03-14 19:00:00
54.3577566506,18.5944890976,2,2013-02-14 08:00:00
54.3019515593,18.5798549652,2,2013-03-15 08:05:00
54.3598822525,18.5850262642,2,2013-01-15 20:00:00
54.3603073597,18.5812711716,2,2013-02-15 07:15:00
54.3264475565,18.5856699944,5,2013-03-13 08:08:00
54.3111157958,18.5507583618,1,2013-03-15 08:09:00
54.2711137026,18.6262249947,2,2013-03-15 08:17:00
54.3224681056,18.5498142242,5,2013-03-15 08:17:00
54.3185633645,18.5577750206,2,2013-03-14 19:13:00
54.3476773,18.561809063,2,2013-03-15 08:27:00
54.319477007,18.5652422905,5,2013-03-15 08:25:00
54.3194895226,18.5654783249,5,2013-03-15 08:26:00
54.3232064605,18.5939311981,4,2013-03-15 06:00:00
54.3770330849,18.5882663727,2,2013-02-21 08:30:00
54.3012879493,18.5785031319,3,2013-03-13 08:31:00
54.3292254355,18.5933303833,1,2013-03-15 08:35:00
54.3414483761,18.564426899,3,2013-03-09 20:37:00
54.3216421336,18.5666155815,1,2013-03-15 08:35:00
54.3050190514,18.5692119598,3,2013-03-15 08:38:00
54.3213918358,18.5728812218,4,2013-03-13 19:38:00
54.3158473486,18.5689544678,4,2013-03-15 08:40:00
