Date,Average Daily Total Cloud Cover [oktas],Average Daily Wind Speed [m/s],Average Daily Temperature [°C],Average Daily Relative Humidity [%],Average Daily Station-Level Pressure [hPa],Daily Precipitation Sum [mm],Night Precipitation Sum [mm]
2013-01-01,7.0,4.4,2.7,94.3,1003.2,0.2,2.0
2013-01-02,7.4,3.8,3.2,98.6,1010.8,0.1,0.1
2013-01-03,7.3,6.1,4.7,97.5,1011.8,0.4,0.8
2013-01-04,3.4,6.3,5.5,89.3,1014.0,0.0,0.0
2013-01-05,4.9,5.3,3.3,86.4,1020.5,0.0,0.0
2013-01-06,6.6,3.3,1.4,90.1,1020.2,0.3,0.0
2013-01-07,7.1,2.5,-0.7,87.6,1027.3,0.0,0.0
2013-01-08,7.9,5.4,-3.0,91.3,1022.3,1.5,1.0
2013-01-09,8.0,4.1,-1.0,100.0,1016.0,0.0,6.0
2013-01-10,7.8,5.0,1.1,100.0,996.9,3.2,0.9
2013-01-11,7.0,5.6,-0.9,93.0,1002.2,3.0,2.0
2013-01-12,8.0,5.1,-4.1,96.0,1013.4,0.1,0.0
2013-01-13,7.4,4.1,-3.6,93.9,1022.2,0.0,0.0
2013-01-14,5.3,4.6,-4.8,91.0,1021.2,0.0,0.5
2013-01-15,8.0,2.4,-5.1,96.8,1012.1,0.0,0.0
2013-01-16,7.4,2.9,-3.2,97.9,1010.7,0.0,0.0
2013-01-17,6.5,6.3,-2.4,89.5,1014.4,0.0,0.0
2013-01-18,8.0,3.0,-6.4,95.1,1015.1,0.0,0.0
2013-01-19,7.8,3.1,-7.6,94.5,1008.0,0.0,0.0
2013-01-20,8.0,2.1,-7.3,94.8,1003.7,0.0,0.0
2013-01-21,6.9,4.3,-10.1,89.6,1009.4,0.0,0.0
2013-01-22,6.4,5.3,-8.2,89.3,1011.3,0.0,0.0
2013-01-23,7.3,2.3,-7.7,84.5,1011.3,0.0,0.0
2013-01-24,5.4,1.5,-6.4,91.0,1013.9,0.0,0.1
2013-01-25,6.1,2.3,-9.5,99.4,1021.2,0.0,0.0
2013-01-26,6.5,5.5,-11.1,96.1,1019.2,0.0,0.0
2013-01-27,8.0,6.9,-7.9,94.8,1009.2,0.0,0.7
2013-01-28,8.0,4.0,-2.3,100.0,1008.7,0.0,0.0
2013-01-29,7.9,5.0,1.2,99.9,1005.6,2.2,0.7
2013-01-30,7.8,5.1,3.5,99.6,997.6,3.2,0.4
2013-01-31,6.6,7.4,4.3,90.9,993.6,1.7,0.0
2013-02-01,7.4,2.6,2.4,100.0,995.5,0.0,0.0
2013-02-02,7.8,3.1,1.4,100.0,993.3,8.8,0.0
2013-02-03,6.3,4.1,0.4,89.4,1004.5,0.0,0.0
2013-02-04,6.8,5.4,0.8,98.0,998.5,1.3,3.0
2013-02-05,6.5,6.3,2.5,95.6,992.8,0.1,3.9
2013-02-06,5.8,4.6,0.6,96.1,995.9,0.0,0.1
2013-02-07,5.6,2.9,-0.3,99.3,1003.2,0.0,0.8
2013-02-08,6.3,2.9,0.2,97.1,1007.1,0.5,0.0
2013-02-09,5.0,1.9,-0.5,95.9,1014.1,0.0,0.0
2013-02-10,6.5,1.9,-0.8,86.9,1016.0,0.0,0.0
2013-02-11,7.1,3.8,-0.9,91.8,1016.1,0.4,0.1
2013-02-12,6.3,2.9,-1.3,93.5,1015.6,0.3,0.0
2013-02-13,8.0,3.4,-0.6,92.3,1022.3,0.1,0.0
2013-02-14,7.5,2.1,0.9,89.9,1025.2,0.0,0.0
2013-02-15,8.0,3.9,1.3,81.6,1022.2,0.0,0.0
2013-02-16,8.0,2.8,-0.5,81.5,1024.9,0.0,0.0
2013-02-17,6.8,3.1,-2.6,78.8,1026.3,0.0,0.0
2013-02-18,7.9,4.5,-1.2,93.4,1017.6,0.9,10.1
2013-02-19,7.6,6.0,0.1,94.8,1006.3,1.1,0.2
2013-02-20,7.3,8.0,-2.4,80.8,1016.5,0.0,0.2
2013-02-21,7.0,4.5,-4.2,83.3,1022.0,0.2,0.0
2013-02-22,7.3,2.9,-4.1,81.5,1022.9,0.0,0.1
2013-02-23,7.8,6.0,-1.0,85.3,1019.4,0.0,0.1
2013-02-24,7.8,4.8,1.3,80.8,1019.9,0.0,0.0
2013-02-25,7.8,3.4,1.5,82.9,1026.0,0.0,0.0
2013-02-26,8.0,2.5,1.5,94.8,1030.6,0.0,0.0
2013-02-27,5.6,1.9,1.9,93.3,1030.0,0.0,0.0
2013-02-28,1.0,5.1,1.9,77.6,1019.5,0.0,0.0
2013-03-01,4.1,5.3,3.2,73.8,1012.2,0.0,0.0
2013-03-02,5.8,5.5,2.7,73.3,1013.8,0.0,0.0
2013-03-03,2.0,6.8,3.0,65.1,1009.4,0.0,0.0
2013-03-04,2.4,3.3,2.1,67.0,1021.1,0.0,0.0
